year,city,country,contestant,song,event,points,place
1962,Luxembourg,Denmark,Ellen Winther,Vuggevise,Final,2,10
1962,Luxembourg,Norway,Inger Jacobsen,"Kom Sol, Kom Regn",Final,2,10
1962,Luxembourg,Switzerland,Jean Philippe,Le Retour,Final,2,10
1962,Luxembourg,Italy,Claudio Villa,"Addio, Addio",Final,3,9
1962,Luxembourg,Finland,Marion Rung,Tipi-tii,Final,4,7
1962,Luxembourg,Sweden,Inger Berggren,Sol Och Vår,Final,4,7
1962,Luxembourg,Germany,Conny Froboess,Zwei Kleine Italiener,Final,9,6
1962,Luxembourg,United Kingdom,Ronnie Carroll,Ring-a-ding Girl,Final,10,4
1962,Luxembourg,Yugoslavia,Lola Novakovic,Ne Pali Svetlo U Sumrak,Final,10,4
1962,Luxembourg,Luxembourg,Camillo Felgen,Petit Bonhomme,Final,11,3
1962,Luxembourg,Monaco,François Deguelt,Dis Rien,Final,13,2
1962,Luxembourg,France,Isabelle Aubret,Un Premier Amour,Final,26,1
1963,London,Finland,Laila Halme,Muistojeni Laulu,Final,0,13
1963,London,Norway,Anita Thallaug,Solhverv,Final,0,13
1963,London,Sweden,Monica Zetterlund,En Gång I Stockholm,Final,0,13
1963,London,The Netherlands,Annie Palmen,Een Speeldoos,Final,0,13
1963,London,Spain,José Guardiola,Algo Prodigioso,Final,2,12
1963,London,Yugoslavia,Vice Vukov,Brodovi,Final,3,11
1963,London,Belgium,Jacques Raymond,Waarom,Final,4,10
1963,London,Germany,Heidi Brühl,Marcel,Final,5,9
1963,London,Luxembourg,Nana Mouskouri,A Force De Prier,Final,13,8
1963,London,Austria,Carmela Corren,Vielleicht Geschieht Ein Wunder,Final,16,7
1963,London,France,Alain Barrière,Elle était Si Jolie,Final,25,5
1963,London,Monaco,Françoise Hardy,L'amour S'en Va,Final,25,5
1963,London,United Kingdom,Ronnie Carroll,Say Wonderful Things,Final,28,4
1963,London,Italy,Emilio Pericoli,Uno Per Tutte,Final,37,3
1963,London,Switzerland,Esther Ofarim,T'en Va Pas,Final,40,2
1963,London,Denmark,Grethe and Jørgen Ingmann,Dansevise,Final,42,1
1964,Copenhagen,Germany,Nora Nova,Man Gewöhnt Sich So Schnell An Das Schöne,Final,0,13
1964,Copenhagen,Portugal,António Calvário,Oração,Final,0,13
1964,Copenhagen,Switzerland,Anita Traversi,I Miei Pensieri,Final,0,13
1964,Copenhagen,Yugoslavia,Sabahudin Kurt,Zivot Je Sklopio Krug,Final,0,13
1964,Copenhagen,Spain,"Tim, Nelly and Tony",Caracola,Final,1,12
1964,Copenhagen,Belgium,Robert Cogoi,Près De Ma Rivière,Final,2,10
1964,Copenhagen,The Netherlands,Anneke Grönloh,Jij Bent Mijn Leven,Final,2,10
1964,Copenhagen,Denmark,Bjørn Tidmand,Sangen Om Dig,Final,4,9
1964,Copenhagen,Norway,Arne Bendiksen,Spiral,Final,6,8
1964,Copenhagen,Finland,Lasse Mårtenson,Laiskotellen,Final,9,7
1964,Copenhagen,Austria,Udo Jürgens,"Warum Nur, Warum?",Final,11,6
1964,Copenhagen,France,Rachel,Le Chant De Mallory,Final,14,4
1964,Copenhagen,Luxembourg,Hugues Aufray,Dès Que Le Printemps Revient,Final,14,4
1964,Copenhagen,Monaco,Romuald,Où Sont-elles Passées?,Final,15,3
1964,Copenhagen,United Kingdom,Matt Monro,I Love The Little Things,Final,17,2
1964,Copenhagen,Italy,Gigliola Cinquetti,Non Ho L'étà,Final,49,1
1965,Naples,Belgium,Lize Marke,Als Het Weer Lente Is,Final,0,15
1965,Naples,Finland,Viktor Klimenko,Aurinko Laskee Länteen,Final,0,15
1965,Naples,Germany,Ulla Wiesner,"Paradies, Wo Bist Du?",Final,0,15
1965,Naples,Spain,Conchita Bautista,"Qué Bueno, Qué Bueno",Final,0,15
1965,Naples,Norway,Kirsti Sparboe,Karusell,Final,1,13
