year,city,country,contestant,song,event,points,place
1965,Naples,Portugal,Simone de Oliviera,Sol De Inverno,Final,1,13
1965,Naples,Yugoslavia,Vice Vukov,Ceznja,Final,2,12
1965,Naples,The Netherlands,Conny Van den bos,Het Is Genoeg,Final,5,11
1965,Naples,Sweden,Ingvar Wixell,Absent Friend,Final,6,10
1965,Naples,Monaco,Marjorie Noël,Va Dire à L'amour,Final,7,9
1965,Naples,Switzerland,Yovanna,Non à Jamais Sans Toi,Final,8,8
1965,Naples,Denmark,Birgit Brüel,For Din Skyld,Final,10,7
1965,Naples,Ireland,Butch Moore,I'm Walking The Streets In The Rain,Final,11,6
1965,Naples,Italy,Bobby Solo,"Se Piangi, Se Ridi",Final,15,5
1965,Naples,Austria,Udo Jürgens,"Sag Ihr, Ich Lass' Sie Grüßen",Final,16,4
1965,Naples,France,Guy Mardel,N'avoue Jamais,Final,22,3
1965,Naples,United Kingdom,Kathy Kirby,I Belong,Final,26,2
1965,Naples,Luxembourg,France Gall,"Poupée De Cire, Poupée De Son",Final,32,1
1966,Luxembourg,Italy,Domenico Modugno,Dio Come Ti Amo,Final,0,17
1966,Luxembourg,Monaco,Tereza,Bien Plus Fort,Final,0,17
1966,Luxembourg,France,Dominique Walter,Chez Nous,Final,1,16
1966,Luxembourg,The Netherlands,Milly Scott,Fernando En Philippo,Final,2,15
1966,Luxembourg,Denmark,Ulla Pia,"Stop, Ja Stop - Ja Stop, Mens Legen Er Go",Final,4,14
1966,Luxembourg,Portugal,Madalena Iglesias,Ele E Ela,Final,6,13
1966,Luxembourg,Finland,Ann-Christine Nyström,Play-boy,Final,7,10
1966,Luxembourg,Germany,Margot Eskens,Die Zeiger Der Uhr,Final,7,10
1966,Luxembourg,Luxembourg,Michèle Torr,Ce Soir Je T'attendais,Final,7,10
1966,Luxembourg,United Kingdom,Kenneth McKellar,A Man Without Love,Final,8,9
1966,Luxembourg,Spain,Raphael,Yo Soy Aquél,Final,9,7
1966,Luxembourg,Yugoslavia,Berta Ambroz,Brez Besed,Final,9,7
1966,Luxembourg,Switzerland,Madeleine Pascal,Ne Vois-tu Pas?,Final,12,6
1966,Luxembourg,Belgium,Tonia,"Un Peu De Poivre, Un Peu De Sel",Final,14,4
1966,Luxembourg,Ireland,Dickie Rock,Come Back To Stay,Final,14,4
1966,Luxembourg,Norway,Åse Kleveland,Intet Er Nytt Under Solen,Final,15,3
1966,Luxembourg,Sweden,Lill Lindfors and Svante Thuresson,Nygammal Vals Eller Hip Man Svinaherde,Final,16,2
1966,Luxembourg,Austria,Udo Jürgens,Merci Chérie,Final,31,1
1967,Vienna,Switzerland,Géraldine,Quel Coeur Vas-tu Briser?,Final,0,17
1967,Vienna,Austria,Peter Horten,Warum Es Hunderttausend Sterne Gibt,Final,2,14
1967,Vienna,Norway,Kirsti Sparboe,Dukkemann,Final,2,14
1967,Vienna,The Netherlands,Thérèse Steinmetz,Ring-dinge,Final,2,14
